experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,XGBoost,nocorr,0.2,0.1,10.0,1.0,625,57,17943,1375,0.3125,0.0031666666666666666,0.9968333333333333,0.6875,0.9164222873900293,0.3125,0.46607009694258017,0.9284,0.09725,0.9415965138888889,0.7364856940671854,0.05307285115122795,0.1800786729332447,2.302585092994046,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.1,10.0,1.0,348,10,17990,1652,0.174,0.0005555555555555556,0.9994444444444445,0.8260000000000001,0.9720670391061452,0.174,0.2951653944020356,0.9169,0.0876,0.9415965138888888,0.7364856940671854,0.04661908406908941,0.16081909586733661,2.302585092994046,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.1,10.0,1.0,647,69,17931,1353,0.3235,0.003833333333333333,0.9961666666666666,0.6765,0.9036312849162011,0.3235,0.47643593519882177,0.9289,0.10215,0.9415965138888888,0.7364856940671854,0.04661908406908941,0.16081909586733661,1.4279058338172406,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.1,1.0,10.0,1863,4272,13728,137,0.9315,0.23733333333333334,0.7626666666666667,0.0685,0.30366748166259167,0.9315,0.45802089735709894,0.77955,0.2821,0.9415965138888889,0.7364856940671854,0.05307285115122795,0.1800786729332447,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.1,1.0,10.0,1740,2597,15403,260,0.87,0.14427777777777778,0.8557222222222223,0.13,0.4011989854738298,0.87,0.5491557519330914,0.85715,0.25985,0.9415965138888888,0.7364856940671854,0.04661908406908941,0.16081909586733661,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.1,1.0,10.0,1659,1850,16150,341,0.8295,0.10277777777777777,0.8972222222222223,0.17049999999999998,0.4727842690225135,0.8295,0.602287166454892,0.89045,0.263,0.9415965138888888,0.7364856940671854,0.04661908406908941,0.16081909586733661,-1.8204645751946003,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.05,1.0,1.0,715,858,18142,285,0.715,0.045157894736842105,0.9548421052631579,0.28500000000000003,0.45454545454545453,0.715,0.5557714729887291,0.94285,0.05715,0.9460881578947369,0.6466910483314557,0.043254078592566664,0.1514912331672482,0.0,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.05,1.0,1.0,453,153,18847,547,0.453,0.008052631578947369,0.9919473684210526,0.5469999999999999,0.7475247524752475,0.453,0.564134495641345,0.965,0.035,0.9460881578947369,0.6466910483314557,0.027419588188600925,0.10063198721087395,0.0,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.05,1.0,1.0,535,267,18733,465,0.535,0.014052631578947369,0.9859473684210527,0.46499999999999997,0.6670822942643392,0.535,0.5937846836847946,0.9634,0.0366,0.9460881578947369,0.6466910483314557,0.027419588188600925,0.10063198721087395,-0.47990029898670117,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.05,10.0,1.0,317,61,18939,683,0.317,0.0032105263157894736,0.9967894736842106,0.683,0.8386243386243386,0.317,0.46008708272859217,0.9628,0.06465,0.9460881578947369,0.6466910483314557,0.043254078592566664,0.1514912331672482,2.302585092994046,,fixed_threshold
